IncAVG_RecastBuildCompressedLayers,			IncMAX_RecastBuildCompressedLayers,			IncAVG_RecastBuildLayers,			IncMAX_RecastBuildLayers,			IncAVGArray_Navigation_BuildTime,			IncMAXArray_Navigation_BuildTime,			IncAVGArray_Navigation_GenerateNavigationDataLayer,			IncMAXArray_Navigation_GenerateNavigationDataLayer,			IncAVGArray_RecastBuildRegions,			IncMAXArray_RecastBuildRegions
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1022,61328,591,35452,348,20865,345,20678,218,13096
1390,61328,789,35452,481,20865,476,20678,303,13096
3013,97406,1588,47896,1009,31674,999,31340,620,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
3503,97406,1714,47896,1099,31674,1088,31340,674,18999
2481,97406,1123,47896,751,31674,744,31340,456,18999
2113,97406,924,47896,618,31674,612,31340,371,18999
489,29367,126,7565,90,5400,89,5366,54,3247
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
