IncAVG_RecastBuildCompressedLayers,			IncMAX_RecastBuildCompressedLayers,			IncAVG_RecastBuildLayers,			IncMAX_RecastBuildLayers,			IncAVGArray_Navigation_BuildTime,			IncMAXArray_Navigation_BuildTime,			IncAVGArray_Navigation_GenerateNavigationDataLayer,			IncMAXArray_Navigation_GenerateNavigationDataLayer,			IncAVGArray_RecastBuildRegions,			IncMAXArray_RecastBuildRegions
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,2576984,0,2576982,0,2576981,0,2576981,0,2576981
0,2576984,0,2576982,0,2576981,0,2576981,0,2576981
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
0,3435981,0,3435977,0,3435976,0,3435976,0,3435975
