IncAVG_RecastBuildCompressedLayers,			IncMAX_RecastBuildCompressedLayers,			IncAVG_RecastBuildLayers,			IncMAX_RecastBuildLayers,			IncAVGArray_Navigation_BuildTime,			IncMAXArray_Navigation_BuildTime,			IncAVGArray_Navigation_GenerateNavigationDataLayer,			IncMAXArray_Navigation_GenerateNavigationDataLayer,			IncAVGArray_RecastBuildRegions,			IncMAXArray_RecastBuildRegions
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1148,6.8863,0.0472,2.8326,0.0425,2.5522,0.0409,2.4546,0.0182,1.0935
0.2005,6.8863,0.0837,2.8326,0.0725,2.5522,0.0701,2.4546,0.0322,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
0.2079,6.8863,0.0859,2.8326,0.0745,2.5522,0.072,2.4546,0.033,1.0935
