IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.004,0.0055,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0047,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0047,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0047,0.0004,0.0007,0.0,0.0,0.0,0.0
0.3204,19.225899,0.0955,5.7321,0.0079,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0107,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0108,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
0.3475,19.225899,0.1017,5.7321,0.0108,0.242,0.0005,0.0053,0.0,0.0,0.0,0.0
