IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.004,0.0046,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0046,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0046,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0046,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0643,3.8593,0.0245,1.4684,0.0051,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.0061,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.0061,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.0061,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.0061,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.0061,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.006,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
0.078,3.8593,0.0296,1.4684,0.0061,0.0742,0.0004,0.0028,0.0,0.0,0.0,0.0
