IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0047,0.008,0.0013,0.0515,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0048,0.008,0.0013,0.0515,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.008,0.0013,0.0515,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0048,0.008,0.0013,0.0515,0.0,0.0,0.0,0.0
0.179,10.7399,0.0543,3.2553,0.0127,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2791,10.7399,0.0875,3.2553,0.0181,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0014,0.0515,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0195,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0196,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0197,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
0.2872,10.7399,0.0898,3.2553,0.0198,0.4801,0.0006,0.0098,0.0,0.0,0.0,0.0
