IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0047,0.0082,0.0004,0.0008,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0064,0.0004,0.0008,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0064,0.0004,0.0008,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0064,0.0004,0.0008,0.0021,0.1277,0.0,0.0
0.1287,7.7206,0.0378,2.2675,0.012,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2158,7.7206,0.0926,3.2863,0.0176,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0191,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0191,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0191,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0191,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0193,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0193,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0193,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0193,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0193,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0192,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0193,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
0.2233,7.7206,0.0945,3.2863,0.0193,0.4434,0.001,0.0345,0.0021,0.1277,0.0184,1.1061
