IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.004,0.0051,0.0004,0.0008,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0051,0.0004,0.0008,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0051,0.0004,0.0008,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0051,0.0004,0.0008,0.0,0.0,0.0,0.0
0.5038,30.229,0.1763,10.5779,0.0076,0.2167,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0111,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0111,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0111,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0111,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0111,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0112,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0113,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0113,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0113,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0113,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0113,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0114,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0115,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0115,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0115,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0116,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.5419,30.229,0.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
0.0381,2.2866,0.0113,0.675,0.0082,0.2169,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0047,0.0105,0.0004,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0046,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0044,0.0105,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0078,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0078,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0078,0.0004,0.0007,0.0,0.0,0.0,0.0

0.5419,30.2290.1875,10.5779,0.0117,0.2169,0.0005,0.0055,0.0,0.0,0.0,0.0
Final Value
AVG: 0.7416ms 	MAX: 41.029301ms
