IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.004,0.0049,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0049,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0049,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004,0.0049,0.0004,0.0007,0.0012,0.0749,0.0,0.0
0.2153,12.918799,0.0666,3.9958,0.0069,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0095,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
0.2414,12.918799,0.0726,3.9958,0.0096,0.1809,0.0005,0.0101,0.0012,0.0749,0.0008,0.0501
