IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0045,0.0063,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0063,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0063,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.0063,0.0004,0.0007,0.0,0.0,0.0,0.0
0.184,11.042399,0.0582,3.4946,0.0087,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0111,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0112,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0113,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0114,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0114,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0115,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0115,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0116,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.2094,11.042399,0.0676,3.4946,0.0117,0.2614,0.0005,0.005,0.0,0.0,0.0,0.0
0.0254,1.5236,0.0094,0.5617,0.0074,0.1489,0.0005,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0051,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005,0.0135,0.0005,0.0013,0.0,0.0,0.0,0.0
