IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0043,0.0066,0.0004,0.0009,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0066,0.0004,0.0009,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0066,0.0004,0.0009,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0066,0.0004,0.0009,0.0019,0.1157,0.0,0.0
0.1526,9.1549,0.0547,3.281,0.0076,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0098,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0098,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0098,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0098,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0098,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0099,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0099,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0101,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0101,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0101,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0101,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0101,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0102,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0102,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0102,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0102,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0102,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0102,0.2018,0.0006,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
0.1762,9.1549,0.0636,3.281,0.0103,0.2018,0.0007,0.0144,0.0019,0.1157,0.0015,0.0912
