IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0001,0.0061,0.0,0.0
0.0498,2.9863,0.0189,1.1358,0.0056,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0068,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0068,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0068,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0068,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0068,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.0069,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.007,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.007,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.007,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.007,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.007,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.007,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
0.0725,2.9863,0.0305,1.1358,0.007,0.0964,0.0007,0.0191,0.0001,0.0061,0.0004,0.0247
