IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0054,0.0004,0.0007,0.0001,0.0078,0.0,0.0
0.0499,2.9921,0.019,1.1409,0.005,0.0546,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
0.0499,2.9921,0.0261,1.1409,0.0061,0.0708,0.0006,0.0111,0.0001,0.0078,0.0003,0.0164
