IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0045,0.0103,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0044,0.0103,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0044,0.0103,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0044,0.0103,0.0004,0.0007,0.0001,0.008,0.0,0.0
0.0,0.0,0.0198,1.1854,0.0052,0.05,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0073,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0073,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0073,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0071,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
0.0,0.0,0.0272,1.1854,0.0072,0.1292,0.0005,0.0103,0.0001,0.008,0.0003,0.0175
