IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0047,0.0166,0.0004,0.0018,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.014,0.0004,0.0009,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.014,0.0004,0.0009,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0045,0.014,0.0004,0.0009,0.0001,0.0083,0.0,0.0
0.0478,2.8682,0.0188,1.1251,0.0054,0.0585,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0067,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0067,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0067,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0067,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0005,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0066,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0067,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0067,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
0.0683,2.8682,0.0286,1.1251,0.0067,0.0796,0.0006,0.0087,0.0001,0.0083,0.0006,0.0355
