IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0,0.0,0.0,0.0,0.0043,0.0165,0.0004,0.0019,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0165,0.0004,0.0019,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0165,0.0004,0.0019,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0043,0.0165,0.0004,0.0019,0.0001,0.0057,0.0,0.0
0.0487,2.9226,0.0193,1.1596,0.005,0.0464,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.0059,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.0059,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.006,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.0059,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
0.0661,2.9226,0.026,1.1596,0.0059,0.0722,0.0005,0.0072,0.0001,0.0057,0.0003,0.0162
