IncAVG_RecastBuildCompressedLayers,			IncMAX_RecastBuildCompressedLayers,			IncAVG_RecastBuildLayers,			IncMAX_RecastBuildLayers,			IncAVGArray_Navigation_BuildTime,			IncMAXArray_Navigation_BuildTime,			IncAVGArray_Navigation_GenerateNavigationDataLayer,			IncMAXArray_Navigation_GenerateNavigationDataLayer,			IncAVGArray_RecastBuildRegions,			IncMAXArray_RecastBuildRegions
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
5180,310822,2463,147765,1681,100872,1668,100051,1043,62592
5180,310822,2463,147765,1681,100872,1668,100051,1043,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
5555,310822,2624,147765,1826,100872,1812,100051,1142,62592
