IncAVG_RecastBuildCompressedLayers,			IncMAX_RecastBuildCompressedLayers,			IncAVG_RecastBuildLayers,			IncMAX_RecastBuildLayers,			IncAVGArray_Navigation_BuildTime,			IncMAXArray_Navigation_BuildTime,			IncAVGArray_Navigation_GenerateNavigationDataLayer,			IncMAXArray_Navigation_GenerateNavigationDataLayer,			IncAVGArray_RecastBuildRegions,			IncMAXArray_RecastBuildRegions
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4984,29.902399,0.241,14.4611,0.1652,9.9091,0.1636,9.816199,0.1032,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
0.5397,29.902399,0.2615,14.4611,0.177,9.9091,0.1754,9.816199,0.1109,6.1945
